preferredName_A,preferredName_B,score
DCN,MMP9,0.713
DCN,BGLAP,0.731
DCN,POSTN,0.758
DCN,COL6A1,0.824
DCN,THBS1,0.854
DCN,SPARC,0.905
DCN,FBN1,0.912
DCN,COL1A1,0.923
DCN,COL1A2,0.93
DCN,COL3A1,0.935
DCN,CCN2,0.939
DCN,ACAN,0.962
DCN,LUM,0.978
DCN,BGN,0.989
DCN,ELN,0.993
DCN,FN1,0.996
TIMP1,ITGB1,0.753
TIMP1,THBS1,0.762
TIMP1,CCN2,0.816
TIMP1,COL1A1,0.842
TIMP1,CD44,0.922
TIMP1,FN1,0.954
TIMP1,MMP9,0.999
ITGB8,COL6A2,0.713
ITGB8,COL6A3,0.722
ITGB8,COL1A2,0.723
ITGB8,COL6A1,0.769
ITGB8,THBS1,0.775
ITGB8,COL1A1,0.832
ITGB8,FN1,0.93
ITGB8,ITGB6,0.932
ITGB8,ITGB1,0.94
ITGB8,ITGB5,0.945
ITGB8,ITGB3,0.947
ITGB8,ITGA1,0.963
ITGB8,ITGA3,0.963
ITGB8,ITGA5,0.965
ITGB8,ITGA2,0.966
ITGB8,ITGA11,0.967
ITGB8,ITGAV,0.999
ACTA2,FBN1,0.721
ACTA2,CCN2,0.727
ACTA2,POSTN,0.73
ACTA2,COL1A2,0.814
ACTA2,COL3A1,0.882
ACTA2,COL1A1,0.928
COL1A1,ACAN,0.835
COL1A1,COL12A1,0.836
COL1A1,MMP9,0.84
COL1A1,ITGA3,0.848
COL1A1,ITGB6,0.851
COL1A1,DDR2,0.856
COL1A1,ITGB5,0.859
COL1A1,P4HA2,0.863
COL1A1,PDGFB,0.864
COL1A1,COL2A1,0.867
COL1A1,COL11A2,0.868
COL1A1,ITGAV,0.874
COL1A1,ELN,0.876
COL1A1,CCN2,0.876
COL1A1,VWF,0.877
COL1A1,ITGA1,0.879
COL1A1,SP7,0.88
COL1A1,ITGA11,0.888
COL1A1,BGLAP,0.889
COL1A1,PPIB,0.893
COL1A1,THBS1,0.896
COL1A1,POSTN,0.903
COL1A1,SERPINH1,0.921
COL1A1,FBN1,0.929
COL1A1,ITGB3,0.932
COL1A1,ADAMTS2,0.936
COL1A1,GP6,0.943
COL1A1,ITGA5,0.944
COL1A1,P3H1,0.945
COL1A1,COL6A2,0.954
COL1A1,RUNX2,0.955
COL1A1,COL11A1,0.965
COL1A1,SPARC,0.968
COL1A1,COL6A1,0.969
COL1A1,CRTAP,0.971
COL1A1,COL6A3,0.974
COL1A1,BGN,0.974
COL1A1,FN1,0.974
COL1A1,LUM,0.981
COL1A1,ITGA2,0.983
COL1A1,ITGB1,0.984
COL1A1,CD44,0.987
COL1A1,COL5A1,0.994
COL1A1,COL5A2,0.995
COL1A1,COL3A1,0.999
COL1A1,COL1A2,0.999
SPARC,BGN,0.724
SPARC,RUNX2,0.757
SPARC,CCN2,0.764
SPARC,VWF,0.765
SPARC,POSTN,0.797
SPARC,THBS1,0.847
SPARC,COL3A1,0.911
SPARC,LUM,0.954
SPARC,COL1A2,0.959
SPARC,FN1,0.969
SPARC,BGLAP,0.991
P3H1,COL6A3,0.706
P3H1,COL6A1,0.744
P3H1,COL2A1,0.745
P3H1,COL5A2,0.793
P3H1,COL5A1,0.796
P3H1,P4HA2,0.827
P3H1,SERPINH1,0.911
P3H1,COL1A2,0.945
P3H1,PPIB,0.999
P3H1,CRTAP,0.999
ADAMTS2,FBN1,0.736
ADAMTS2,COL5A2,0.797
ADAMTS2,COL5A1,0.826
ADAMTS2,COL3A1,0.891
ADAMTS2,COL1A2,0.946
THBS1,PDGFB,0.741
THBS1,CCN2,0.749
THBS1,ITGA11,0.749
THBS1,ITGA1,0.758
THBS1,CD44,0.767
THBS1,VWF,0.771
THBS1,ITGB6,0.775
THBS1,COL6A1,0.778
THBS1,BGN,0.779
THBS1,COL6A2,0.784
THBS1,FBN1,0.801
THBS1,ITGA5,0.812
THBS1,ITGB5,0.859
THBS1,ITGA2,0.87
THBS1,ITGA3,0.965
THBS1,ITGAV,0.981
THBS1,ITGB3,0.984
THBS1,ITGB1,0.989
THBS1,MMP9,0.997
THBS1,FN1,0.999
ITGAV,COL2A1,0.722
ITGAV,COL6A3,0.743
ITGAV,COL6A2,0.758
ITGAV,POSTN,0.772
ITGAV,CD44,0.85
ITGAV,COL6A1,0.885
ITGAV,COL1A2,0.889
ITGAV,ITGA11,0.923
ITGAV,ITGA1,0.937
ITGAV,ITGA5,0.946
ITGAV,ITGA2,0.967
ITGAV,ITGA3,0.968
ITGAV,VWF,0.986
ITGAV,ITGB3,0.999
ITGAV,ITGB6,0.999
ITGAV,ITGB1,0.999
ITGAV,FN1,0.999
ITGAV,ITGB5,0.999
VWF,ITGB6,0.705
VWF,ITGA1,0.706
VWF,ITGA3,0.728
VWF,ITGB5,0.739
VWF,ITGA5,0.755
VWF,MMP9,0.805
VWF,ITGB1,0.834
VWF,ITGA2,0.853
VWF,CCN2,0.884
VWF,GP6,0.997
VWF,ITGB3,0.998
VWF,FN1,0.998
LUM,COL6A2,0.702
LUM,ELN,0.723
LUM,COL12A1,0.769
LUM,COL2A1,0.843
LUM,COL6A3,0.853
LUM,COL5A1,0.912
LUM,POSTN,0.913
LUM,BGN,0.918
LUM,ACAN,0.92
LUM,COL11A2,0.949
LUM,COL11A1,0.949
LUM,COL5A2,0.96
LUM,FN1,0.962
LUM,FBN1,0.972
LUM,COL3A1,0.986
LUM,COL1A2,0.999
ITGA1,COL3A1,0.723
ITGA1,COL6A3,0.819
ITGA1,COL2A1,0.845
ITGA1,COL1A2,0.855
ITGA1,COL6A2,0.864
ITGA1,COL6A1,0.87
ITGA1,ITGA11,0.944
ITGA1,ITGA5,0.947
ITGA1,FN1,0.948
ITGA1,ITGA3,0.961
ITGA1,ITGA2,0.969
ITGA1,ITGB6,0.97
ITGA1,ITGB5,0.976
ITGA1,ITGB3,0.982
ITGA1,ITGB1,0.999
ITGB6,COL6A2,0.714
ITGB6,COL2A1,0.718
ITGB6,COL6A1,0.722
ITGB6,FBN1,0.729
ITGB6,COL6A3,0.747
ITGB6,COL1A2,0.75
ITGB6,ITGB5,0.927
ITGB6,ITGB3,0.935
ITGB6,ITGA11,0.951
ITGB6,ITGA5,0.961
ITGB6,ITGA2,0.974
ITGB6,ITGA3,0.977
ITGB6,ITGB1,0.979
ITGB6,FN1,0.986
ITGA5,COL2A1,0.734
ITGA5,FBN1,0.775
ITGA5,CD44,0.785
ITGA5,RUNX2,0.852
ITGA5,COL1A2,0.869
ITGA5,COL6A3,0.87
ITGA5,COL6A2,0.892
ITGA5,COL6A1,0.922
ITGA5,ITGA11,0.949
ITGA5,ITGA3,0.961
ITGA5,ITGA2,0.962
ITGA5,ITGB5,0.991
ITGA5,ITGB3,0.999
ITGA5,ITGB1,0.999
ITGA5,FN1,0.999
COL6A3,COL11A2,0.717
COL6A3,FN1,0.736
COL6A3,ITGA3,0.761
COL6A3,COL2A1,0.773
COL6A3,ITGA2,0.781
COL6A3,FBN1,0.786
COL6A3,COL12A1,0.788
COL6A3,BGN,0.806
COL6A3,POSTN,0.819
COL6A3,ITGA11,0.82
COL6A3,COL11A1,0.826
COL6A3,ITGB3,0.829
COL6A3,SERPINH1,0.831
COL6A3,ITGB5,0.835
COL6A3,ITGB1,0.859
COL6A3,COL5A1,0.892
COL6A3,GP6,0.913
COL6A3,CD44,0.921
COL6A3,COL5A2,0.935
COL6A3,COL3A1,0.952
COL6A3,COL1A2,0.968
COL6A3,COL6A2,0.994
COL6A3,COL6A1,0.994
ITGB5,POSTN,0.738
ITGB5,COL1A2,0.791
ITGB5,COL6A2,0.859
ITGB5,COL6A1,0.866
ITGB5,ITGB3,0.954
ITGB5,ITGB1,0.96
ITGB5,ITGA11,0.973
ITGB5,ITGA2,0.98
ITGB5,ITGA3,0.986
ITGB5,FN1,0.995
ITGA2,DDR2,0.715
ITGA2,CD44,0.727
ITGA2,COL6A2,0.818
ITGA2,COL2A1,0.854
ITGA2,COL6A1,0.857
ITGA2,ITGA11,0.947
ITGA2,ITGA3,0.972
ITGA2,COL1A2,0.973
ITGA2,GP6,0.976
ITGA2,COL3A1,0.976
ITGA2,ITGB3,0.984
ITGA2,FN1,0.986
ITGA2,ITGB1,0.999
COL1A2,SP7,0.717
COL1A2,ITGA3,0.777
COL1A2,ELN,0.777
COL1A2,COL12A1,0.793
COL1A2,CCN2,0.835
COL1A2,BGLAP,0.858
COL1A2,COL6A1,0.875
COL1A2,PPIB,0.876
COL1A2,SERPINH1,0.879
COL1A2,COL2A1,0.883
COL1A2,ITGB3,0.884
COL1A2,MMP9,0.904
COL1A2,COL6A2,0.908
COL1A2,GP6,0.908
COL1A2,POSTN,0.918
COL1A2,ITGA11,0.927
COL1A2,BGN,0.938
COL1A2,COL11A2,0.953
COL1A2,CRTAP,0.964
COL1A2,FBN1,0.965
COL1A2,FN1,0.982
COL1A2,ITGB1,0.988
COL1A2,CD44,0.988
COL1A2,COL5A1,0.989
COL1A2,COL11A1,0.992
COL1A2,COL5A2,0.998
COL1A2,COL3A1,0.999
PPIB,SERPINH1,0.825
PPIB,CRTAP,0.999
COL6A2,FBN1,0.75
COL6A2,ITGA3,0.781
COL6A2,COL11A1,0.785
COL6A2,COL12A1,0.793
COL6A2,FN1,0.802
COL6A2,BGN,0.816
COL6A2,ITGB1,0.817
COL6A2,ITGB3,0.831
COL6A2,SERPINH1,0.837
COL6A2,COL5A2,0.856
COL6A2,COL5A1,0.862
COL6A2,ITGA11,0.863
COL6A2,COL3A1,0.894
COL6A2,GP6,0.912
COL6A2,CD44,0.921
COL6A2,COL6A1,0.998
COL3A1,COL12A1,0.73
COL3A1,MMP9,0.745
COL3A1,CRTAP,0.748
COL3A1,CCN2,0.782
COL3A1,ITGB3,0.786
COL3A1,DDR2,0.841
COL3A1,COL11A2,0.862
COL3A1,COL2A1,0.864
COL3A1,ELN,0.872
COL3A1,SERPINH1,0.876
COL3A1,BGN,0.89
COL3A1,COL6A1,0.926
COL3A1,FN1,0.928
COL3A1,GP6,0.936
COL3A1,ITGB1,0.942
COL3A1,COL11A1,0.965
COL3A1,FBN1,0.97
COL3A1,POSTN,0.976
COL3A1,COL5A1,0.983
COL3A1,COL5A2,0.998
GP6,ITGB3,0.724
GP6,COL2A1,0.914
GP6,COL6A1,0.931
GP6,FN1,0.932
ITGA3,COL2A1,0.744
ITGA3,COL6A1,0.835
ITGA3,ITGA11,0.923
ITGA3,ITGB3,0.979
ITGA3,FN1,0.999
ITGA3,ITGB1,0.999
CRTAP,COL5A1,0.745
CRTAP,COL5A2,0.758
CRTAP,SERPINH1,0.9
COL12A1,SERPINH1,0.736
COL12A1,BGN,0.739
COL12A1,COL6A1,0.781
COL12A1,COL5A1,0.792
COL12A1,COL5A2,0.861
FBN1,ITGB1,0.716
FBN1,COL6A1,0.743
FBN1,MMP9,0.746
FBN1,BGN,0.784
FBN1,POSTN,0.785
FBN1,CCN2,0.797
FBN1,COL5A2,0.924
FBN1,COL5A1,0.929
FBN1,FN1,0.982
FBN1,ELN,0.999
ITGA11,COL5A1,0.721
ITGA11,COL2A1,0.74
ITGA11,FN1,0.866
ITGA11,COL6A1,0.878
ITGA11,ITGB3,0.97
ITGA11,ITGB1,0.981
BGN,COL5A1,0.774
BGN,COL5A2,0.807
BGN,POSTN,0.83
BGN,COL6A1,0.86
BGN,CD44,0.899
BGN,ACAN,0.928
BGN,ELN,0.99
BGN,FN1,0.995
FN1,SERPINH1,0.74
FN1,COL6A1,0.78
FN1,COL5A2,0.83
FN1,COL5A1,0.84
FN1,MMP9,0.85
FN1,BGLAP,0.916
FN1,CCN2,0.963
FN1,ACAN,0.994
FN1,POSTN,0.996
FN1,ELN,0.998
FN1,ITGB3,0.999
FN1,ITGB1,0.999
FN1,CD44,0.999
ELN,POSTN,0.721
ELN,CD44,0.805
ELN,ACAN,0.917
ELN,MMP9,0.979
COL6A1,COL11A1,0.759
COL6A1,ITGB1,0.776
COL6A1,SERPINH1,0.837
COL6A1,ITGB3,0.844
COL6A1,COL5A1,0.879
COL6A1,COL5A2,0.904
COL6A1,CD44,0.926
DDR2,COL5A1,0.762
DDR2,COL11A1,0.77
CCN2,ACAN,0.712
CCN2,POSTN,0.716
CCN2,ITGB1,0.794
CCN2,MMP9,0.809
BGLAP,ACAN,0.812
BGLAP,SP7,0.908
BGLAP,RUNX2,0.996
COL11A1,COL5A1,0.877
COL11A1,COL11A2,0.952
COL11A1,COL5A2,0.976
COL11A1,COL2A1,0.976
RUNX2,ITGB1,0.748
RUNX2,COL2A1,0.777
RUNX2,CD44,0.794
RUNX2,ACAN,0.8
RUNX2,SP7,0.977
COL5A1,POSTN,0.78
COL5A1,SERPINH1,0.804
COL5A1,COL2A1,0.861
COL5A1,COL11A2,0.891
COL5A1,COL5A2,0.996
MMP9,ACAN,0.802
MMP9,CD44,0.998
COL11A2,COL5A2,0.904
COL11A2,COL2A1,0.965
COL5A2,POSTN,0.792
COL5A2,SERPINH1,0.866
COL5A2,COL2A1,0.878
COL2A1,ITGB3,0.709
COL2A1,ITGB1,0.791
COL2A1,SERPINH1,0.791
COL2A1,CD44,0.942
ITGB1,CD44,0.957
ITGB1,ITGB3,0.987
ACAN,CD44,0.761
CD44,ITGB3,0.838
GSTA3,ADH5,0.703
GSTA3,GSTA5,0.705
GSTA3,ALDH3B2,0.716
GSTA3,ALDH3B1,0.719
GSTA3,GSTP1,0.722
GSTA3,ALDH3A1,0.727
GSTA3,GSTM3,0.732
GSTA3,GSTM1,0.735
GSTA3,MGST3,0.751
GSTA3,GSTA4,0.754
GSTA3,MGST2,0.781
GSTA3,HPGDS,0.784
GSTA3,GSTM5,0.819
GSTA3,GSTO2,0.84
GSTA3,GSTO1,0.861
GSTA3,MGST1,0.88
GSTA3,CYP2E1,0.932
GSTA3,GSTA1,0.947
CYP26A1,UGT2B4,0.712
CYP26A1,PNPLA4,0.906
CYP26A1,AWAT2,0.909
CYP26A1,AOX1,0.926
CYP26A1,DGAT1,0.927
CYP26A1,CYP27C1,0.93
CYP26A1,RETSAT,0.933
CYP26A1,ADH5,0.953
CYP26A1,ALDH1A1,0.968
CYP26A1,LRAT,0.972
CYP26A1,ALDH1A3,0.974
CYP26A1,ALDH1A2,0.991
ALDH1A2,ADH5,0.794
ALDH1A2,ALDH1A3,0.903
ALDH1A2,ALDH1A1,0.915
ALDH1A2,AOX1,0.938
ALDH1A2,BCO1,0.95
GSTM5,ADH5,0.712
GSTM5,GSTP1,0.763
GSTM5,MGST1,0.77
GSTM5,MGST2,0.777
GSTM5,HPGDS,0.778
GSTM5,MGST3,0.783
GSTM5,GSTA4,0.807
GSTM5,GSTA1,0.816
GSTM5,GSTA5,0.817
GSTM5,GSTO2,0.832
GSTM5,GSTO1,0.844
GSTM5,GSTM1,0.87
GSTM5,CYP2E1,0.921
GSTM5,GSTM3,0.957
BCO1,LRAT,0.744
BCO1,ADH5,0.909
BCO1,AOX1,0.927
BCO1,ALDH1A1,0.946
BCO1,ALDH1A3,0.95
ALDH2,CYP2E1,0.857
ALDH2,AVP,0.923
ALDH2,ALDH3A2,0.932
ALDH2,ALDH1B1,0.945
ALDH2,ADH5,0.965
ALDH2,MAOB,0.975
ALDH2,MAOA,0.982
HPGDS,ALDH3B1,0.71
HPGDS,ALDH3A1,0.747
HPGDS,ADH5,0.766
HPGDS,GSTP1,0.773
HPGDS,GSTM3,0.773
HPGDS,GSTA5,0.775
HPGDS,GSTA4,0.782
HPGDS,GSTA1,0.791
HPGDS,GSTM1,0.793
HPGDS,MGST3,0.859
HPGDS,MGST2,0.907
HPGDS,MGST1,0.911
HPGDS,GSTO2,0.936
HPGDS,GSTO1,0.956
HPGDS,CYP2E1,0.961
RETSAT,AWAT2,0.903
RETSAT,DGAT1,0.914
RETSAT,PNPLA4,0.914
RETSAT,ADH5,0.915
RETSAT,CYP27C1,0.928
RETSAT,LRAT,0.949
ADH5,GSTO2,0.701
ADH5,NOS1,0.702
ADH5,MGST1,0.71
ADH5,UGT2B4,0.71
ADH5,MGST3,0.711
ADH5,GSTA1,0.714
ADH5,GSTA5,0.714
ADH5,MGST2,0.716
ADH5,GSTM3,0.716
ADH5,GSTA4,0.718
ADH5,GSTP1,0.739
ADH5,ADHFE1,0.745
ADH5,GSTM1,0.747
ADH5,CES5A,0.757
ADH5,GSTO1,0.759
ADH5,ALDH1A3,0.811
ADH5,ALDH3B1,0.819
ADH5,ALDH3B2,0.825
ADH5,ALDH7A1,0.834
ADH5,ALDH3A1,0.86
ADH5,ALDH3A2,0.869
ADH5,ALDH1B1,0.87
ADH5,ALDH9A1,0.885
ADH5,LRTOMT,0.9
ADH5,ALDH1A1,0.902
ADH5,PNPLA4,0.902
ADH5,CYP27C1,0.903
ADH5,AWAT2,0.905
ADH5,COMT,0.912
ADH5,DGAT1,0.913
ADH5,AVP,0.917
ADH5,LRAT,0.918
ADH5,MAOA,0.922
ADH5,MAOB,0.923
ADH5,AOX1,0.938
ADH5,CYP2E1,0.947
ADH5,ESD,0.998
ALDH1A1,AVP,0.739
ALDH1A1,ALDH1A3,0.903
ALDH1A1,AOX1,0.951
UGT2B4,COMT,0.805
UGT2B4,LRTOMT,0.808
UGT2B4,AOX1,0.937
UGT2B4,CYP2E1,0.955
LRTOMT,COMT,0.917
LRTOMT,ALDH3B1,0.925
LRTOMT,ALDH3B2,0.927
LRTOMT,ALDH3A1,0.931
LRTOMT,MAOA,0.989
LRTOMT,MAOB,0.99
GSTM1,GSTM3,0.749
GSTM1,ALDH3A1,0.753
GSTM1,MGST2,0.766
GSTM1,MGST3,0.778
GSTM1,GSTA5,0.804
GSTM1,MGST1,0.807
GSTM1,GSTP1,0.808
GSTM1,GSTA1,0.821
GSTM1,GSTA4,0.882
GSTM1,GSTO2,0.887
GSTM1,GSTO1,0.893
GSTM1,CYP2E1,0.976
ALDH1A3,AOX1,0.952
CYP27C1,PNPLA4,0.9
CYP27C1,AWAT2,0.901
CYP27C1,DGAT1,0.907
CYP27C1,LRAT,0.92
GSTA1,GSTP1,0.746
GSTA1,GSTM3,0.749
GSTA1,MGST2,0.795
GSTA1,MGST3,0.795
GSTA1,ALDH3A1,0.823
GSTA1,MGST1,0.824
GSTA1,GSTO2,0.871
GSTA1,GSTO1,0.886
GSTA1,GSTA5,0.89
GSTA1,GSTA4,0.914
GSTA1,CYP2E1,0.945
MAOA,ALDH9A1,0.939
MAOA,ALDH3B2,0.941
MAOA,ALDH1B1,0.941
MAOA,ALDH7A1,0.943
MAOA,AOX1,0.947
MAOA,ALDH3B1,0.95
MAOA,ALDH3A1,0.951
MAOA,ALDH3A2,0.957
MAOA,MAOB,0.965
MAOA,COMT,0.996
GSTO2,ALDH3B2,0.703
GSTO2,ALDH3B1,0.72
GSTO2,ALDH3A1,0.739
GSTO2,MGST3,0.763
GSTO2,GSTO1,0.802
GSTO2,MGST1,0.812
GSTO2,GSTA5,0.817
GSTO2,MGST2,0.818
GSTO2,GSTA4,0.82
GSTO2,GSTM3,0.842
GSTO2,CYP2E1,0.921
GSTO2,GSTP1,0.927
ALDH3A2,ALDH1B1,0.93
ALDH3A2,MAOB,0.959
ALDH9A1,MAOB,0.94
GSTM3,GSTA5,0.709
GSTM3,ALDH3A1,0.726
GSTM3,GSTP1,0.758
GSTM3,MGST2,0.779
GSTM3,MGST3,0.801
GSTM3,MGST1,0.812
GSTM3,GSTA4,0.877
GSTM3,GSTO1,0.88
GSTM3,CYP2E1,0.944
COMT,ALDH3B2,0.917
COMT,ALDH3A1,0.946
COMT,ALDH3B1,0.951
COMT,MAOB,0.996
MGST3,GSTA5,0.752
MGST3,GSTA4,0.795
MGST3,GSTP1,0.817
MGST3,MGST2,0.828
MGST3,GSTO1,0.84
MGST3,CYP2E1,0.942
MGST3,MGST1,0.982
GSTO1,ALDH3B1,0.71
GSTO1,ALDH3A1,0.746
GSTO1,GSTA5,0.836
GSTO1,MGST2,0.857
GSTO1,MGST1,0.859
GSTO1,GSTA4,0.901
GSTO1,GSTP1,0.915
GSTO1,CYP2E1,0.926
GSTA4,ALDH3B1,0.716
GSTA4,GSTP1,0.731
GSTA4,ALDH3A1,0.757
GSTA4,MGST2,0.782
GSTA4,MGST1,0.809
GSTA4,GSTA5,0.868
GSTA4,CYP2E1,0.941
GSTA5,MGST1,0.765
GSTA5,MGST2,0.795
GSTA5,GSTP1,0.817
GSTA5,CYP2E1,0.923
AOX1,MAOB,0.969
ALDH1B1,MAOB,0.941
MAOB,ALDH3B2,0.936
MAOB,ALDH7A1,0.945
MAOB,ALDH3B1,0.948
MAOB,ALDH3A1,0.952
ESD,CES5A,0.925
AVP,CYP2E1,0.774
AVP,ADHFE1,0.828
MGST1,ALDH3B1,0.712
MGST1,ALDH3A1,0.719
MGST1,GSTP1,0.83
MGST1,CYP2E1,0.924
MGST1,MGST2,0.988
GSTP1,ALDH3B2,0.702
GSTP1,ALDH3A1,0.758
GSTP1,MGST2,0.812
GSTP1,CYP2E1,0.979
ALDH3A1,MGST2,0.705
ALDH3A1,ALDH3B1,0.909
ALDH3A1,ALDH3B2,0.909
ALDH3A1,CYP2E1,0.939
AWAT2,DGAT1,0.952
CYP2E1,MGST2,0.907
CYP2E1,ALDH3B2,0.928
CYP2E1,ALDH3B1,0.935
ALDH3B1,ALDH3B2,0.959
AASDH,ALAD,0.816
AASDH,FASN,0.978
AK1,ALAD,0.708
UROD,ALAS2,0.747
UROD,ALAS1,0.839
UROD,FECH,0.98
UROD,ALAD,0.985
UROD,UROS,0.998
UROD,HMBS,0.998
UROD,CPOX,0.999
UROD,PPOX,0.999
FASN,ALAD,0.814
ACO1,ALAD,0.711
ACO1,FECH,0.823
ACO1,ALAS2,0.843
PPOX,ALAS2,0.831
PPOX,ALAS1,0.857
PPOX,UROS,0.904
PPOX,ALAD,0.906
PPOX,HMBS,0.969
PPOX,CPOX,0.998
PPOX,FECH,0.999
UROS,ALAS1,0.771
UROS,ALAS2,0.797
UROS,FECH,0.912
UROS,CPOX,0.93
UROS,ALAD,0.997
UROS,HMBS,0.999
OAT,ALAD,0.885
ALAS1,CPOX,0.799
ALAS1,ALAS2,0.905
ALAS1,FECH,0.905
ALAS1,HMBS,0.918
ALAS1,ALAD,0.991
ALAD,FECH,0.917
ALAD,CPOX,0.978
ALAD,ALAS2,0.985
ALAD,HMBS,0.999
ALAS2,CPOX,0.771
ALAS2,HMBS,0.893
ALAS2,FECH,0.984
CPOX,HMBS,0.948
CPOX,FECH,0.976
FECH,HMBS,0.975
CYP51A1,HSD3B2,0.82
CYP51A1,HSD3B1,0.846
CYP51A1,SIGMAR1,0.985
CYP51A1,SC5D,0.987
CYP51A1,HSD17B7,0.996
CYP51A1,FDFT1,0.997
CYP51A1,SQLE,0.998
CYP51A1,LSS,0.999
HSD17B2,UGT1A1,0.701
HSD17B2,UGT1A6,0.701
HSD17B2,UGT1A4,0.704
HSD17B2,UGT1A8,0.731
HSD17B2,UGT2B17,0.74
HSD17B2,UGT2B15,0.798
HSD17B2,UGT1A10,0.822
HSD17B2,HSD17B6,0.92
HSD17B2,CYP11B2,0.927
HSD17B2,AKR1D1,0.931
HSD17B2,CYP3A4,0.932
HSD17B2,HSD17B8,0.935
HSD17B2,CYP3A5,0.937
HSD17B2,CYP11B1,0.938
HSD17B2,SRD5A3,0.953
HSD17B2,SRD5A2,0.958
HSD17B2,HSD17B7,0.961
HSD17B2,CYP1A1,0.962
HSD17B2,HSD3B1,0.964
HSD17B2,CYP19A1,0.966
HSD17B2,HSD3B2,0.97
HSD17B2,CYP17A1,0.972
HSD17B2,SRD5A1,0.977
HSD17B2,AKR1C3,0.982
HSD17B2,DHRS11,0.995
HSD17B2,HSD17B3,0.998
HSD17B2,HSD17B1,0.999
SULT2B1,CYP21A2,0.915
SULT2B1,CYP2E1,0.919
SULT2B1,CYP3A4,0.923
SULT2B1,CYP1A2,0.923
SULT2B1,CYP1A1,0.926
SULT2B1,CYP17A1,0.931
SULT2B1,CYP11A1,0.931
SULT2B1,ENSP00000480571,0.932
SULT2B1,CYP3A5,0.932
SULT2B1,CYP3A7,0.934
SULT2B1,CYP7B1,0.934
SULT2B1,AKR1C3,0.935
SULT2B1,STS,0.94
SULT2B1,HSD3B2,0.942
SULT2B1,HSD3B1,0.949
SULT2B1,CYP7A1,0.954
STS,CYP19A1,0.737
STS,DHRS11,0.749
STS,HSD17B1,0.797
STS,CYP7B1,0.9
STS,CYP7A1,0.904
STS,CYP3A5,0.907
STS,CYP3A7,0.909
STS,CYP2E1,0.91
STS,ENSP00000480571,0.911
STS,CYP1A2,0.918
STS,CYP1A1,0.921
STS,CYP21A2,0.922
STS,CYP3A4,0.923
STS,CYP11A1,0.934
STS,HSD3B2,0.941
STS,CYP17A1,0.945
STS,AKR1C3,0.952
STS,HSD3B1,0.953
CYP3A5,CYP2E1,0.83
CYP3A5,ENSP00000480571,0.914
CYP3A5,HSD17B6,0.92
CYP3A5,HSD17B7,0.922
CYP3A5,HSD17B8,0.923
CYP3A5,HSD17B1,0.928
CYP3A5,AKR1C3,0.929
CYP3A5,CYP7A1,0.936
CYP3A5,HSD3B1,0.937
CYP3A5,HSD3B2,0.937
CYP3A5,CYP17A1,0.941
CYP3A5,CYP19A1,0.944
CYP3A5,CYP3A4,0.95
CYP3A5,UGT2B17,0.954
CYP3A5,CYP1A2,0.96
CYP3A5,UGT2B15,0.965
CYP3A5,CYP3A7,0.968
CYP3A5,CYP1A1,0.971
CYP3A5,UGT1A1,0.974
CYP3A5,UGT1A10,0.974
CYP3A5,UGT1A6,0.975
CYP3A5,UGT1A8,0.976
CYP3A5,UGT1A4,0.978
HSD17B1,UGT1A1,0.73
HSD17B1,UGT2B17,0.73
HSD17B1,UGT1A8,0.731
HSD17B1,UGT1A4,0.732
HSD17B1,UGT1A6,0.733
HSD17B1,UGT1A10,0.738
HSD17B1,UGT2B15,0.763
HSD17B1,CYP11A1,0.835
HSD17B1,CYP17A1,0.852
HSD17B1,HSD3B1,0.88
HSD17B1,HSD17B6,0.938
HSD17B1,CYP3A4,0.939
HSD17B1,CYP1A1,0.955
HSD17B1,HSD17B8,0.959
HSD17B1,AKR1C3,0.975
HSD17B1,CYP19A1,0.984
HSD17B1,HSD17B3,0.984
HSD17B1,HSD17B7,0.991
HSD17B1,DHRS11,0.997
AKR1D1,UGT2B17,0.911
AKR1D1,UGT2B15,0.916
AKR1D1,UGT1A4,0.918
AKR1D1,UGT1A8,0.919
AKR1D1,UGT1A1,0.919
AKR1D1,UGT1A10,0.919
AKR1D1,CYP21A2,0.919
AKR1D1,UGT1A6,0.919
AKR1D1,CYP19A1,0.922
AKR1D1,HSD17B8,0.924
AKR1D1,CYP11B2,0.924
AKR1D1,HSD11B1L,0.927
AKR1D1,HSD17B3,0.933
AKR1D1,HSD17B6,0.934
AKR1D1,CYP17A1,0.936
AKR1D1,HSD3B1,0.941
AKR1D1,SRD5A3,0.941
AKR1D1,HSD3B2,0.943
AKR1D1,CYP11B1,0.946
AKR1D1,SRD5A2,0.957
AKR1D1,HSD11B2,0.975
AKR1D1,HSD11B1,0.977
AKR1D1,AKR1C3,0.983
AKR1D1,AKR1C1,0.983
AKR1D1,SRD5A1,0.988
HSD17B7,CYP7A1,0.707
HSD17B7,CYP7B1,0.708
HSD17B7,SQLE,0.854
HSD17B7,HSD3B2,0.858
HSD17B7,HSD3B1,0.881
HSD17B7,CYP3A4,0.921
HSD17B7,CYP1A1,0.932
HSD17B7,HSD17B6,0.934
HSD17B7,HSD17B8,0.957
HSD17B7,CYP19A1,0.961
HSD17B7,DHRS11,0.989
HSD17B7,LSS,0.992
HSD17B7,FDFT1,0.993
HSD17B7,SC5D,0.997
SC5D,HSD3B2,0.772
SC5D,HSD3B1,0.794
